record_id,status,publication_state,title,record_type,period_id,period_label,date_start,date_end,visual_system_id,visual_system_label,region,locality,community_or_culture,creator_or_authority,creator_role,institution_or_collection,object_or_record_type,medium_or_format,language,description,historical_significance,source_name,source_url,secondary_source_url,source_type,rights_status,rights_note,verification_level,verification_notes,research_priority,research_question,provenance_or_custody_note,community_authority_required,linked_record_ids,tags,build_id
ARED-GH-00049,published,source-backed seed record,Ghanaian design education institutional genealogy,research framework,P3,"Colonial print and institutional design, 1874–1945",late 19th century,present,V7,"Digital, diasporic and contemporary design",National,,,"Mission, colonial, public and private educational institutions",educators; institutions; students,Achimota; KNUST; technical universities; colleges; private schools,curriculum and institutional history,syllabi; student work; staff archives; workshops,,Long-duration map from colonial art education and teacher training to contemporary communication design programmes.,"Explains how professional categories, technologies and canons were formed and contested in Ghana.",KNUST College of Art and Built Environment,https://cabe.knust.edu.gh/,https://decode.knust.edu.gh/,official institutional websites,permission_required,Institutional and individual consent required.,high,,high,"Build timelines for institutions, programme names, staff, technologies, reading lists, exhibitions and alumni.",,Institutional and individual consent,,design education; Achimota; KNUST; technical universities,2026-07-05-taxonomy-v1
ARED-GH-00050,published,source-backed seed record,ARED History of Graphic Design in Ghana master collection,collection,P6,"Democratic, digital and diasporic design, 1992–present",2026,present,V7,"Digital, diasporic and contemporary design",Ghana and diaspora,,,ARED,research and archival platform,ared.design,digital research catalogue,structured metadata; images; oral histories; linked records,,A research-led catalogue mapping Ghanaian visual communication across six overlapping historical periods and seven visual systems.,"Designed to connect objects, makers, communities, institutions, oral histories, rights and provenance rather than reproduce a narrow Western canon.",ARED,https://ared.design/,,project record,mixed,Rights and authority are managed at record level.,high,,high,"Grow the verified catalogue through Ghana-based partnerships, community governance and source-critical research.",,"Yes, where applicable",,ARED; archive; Ghana; graphic design history,2026-07-05-taxonomy-v1
ARED-GH-00051,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — object or artefact record research target 1",object or artefact record,P1,Visual systems before colonial rule,,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,object or artefact record,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,high,"Identify a specific object or artefact record in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; object or artefact record",2026-07-05-taxonomy-v1
ARED-GH-00052,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — object or artefact record research target 2",object or artefact record,P2,"Coastal contact and transcultural exchange, c. 1471–1874",,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,object or artefact record,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,high,"Identify a specific object or artefact record in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; object or artefact record",2026-07-05-taxonomy-v1
ARED-GH-00053,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — object or artefact record research target 3",object or artefact record,P5,"Post-independence public and popular graphics, 1966–1992",,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,object or artefact record,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,medium,"Identify a specific object or artefact record in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; object or artefact record",2026-07-05-taxonomy-v1
ARED-GH-00054,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — object or artefact record research target 4",object or artefact record,P6,"Democratic, digital and diasporic design, 1992–present",,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,object or artefact record,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,medium,"Identify a specific object or artefact record in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; object or artefact record",2026-07-05-taxonomy-v1
ARED-GH-00055,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — object or artefact record research target 5",object or artefact record,P1,Visual systems before colonial rule,,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,object or artefact record,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,exploratory,"Identify a specific object or artefact record in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; object or artefact record",2026-07-05-taxonomy-v1
ARED-GH-00056,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — maker or workshop authority record research target 1",maker or workshop authority record,P1,Visual systems before colonial rule,,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,maker or workshop authority record,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,high,"Identify a specific maker or workshop authority record in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; maker or workshop authority record",2026-07-05-taxonomy-v1
ARED-GH-00057,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — maker or workshop authority record research target 2",maker or workshop authority record,P2,"Coastal contact and transcultural exchange, c. 1471–1874",,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,maker or workshop authority record,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,high,"Identify a specific maker or workshop authority record in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; maker or workshop authority record",2026-07-05-taxonomy-v1
ARED-GH-00058,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — maker or workshop authority record research target 3",maker or workshop authority record,P5,"Post-independence public and popular graphics, 1966–1992",,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,maker or workshop authority record,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,medium,"Identify a specific maker or workshop authority record in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; maker or workshop authority record",2026-07-05-taxonomy-v1
ARED-GH-00059,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — maker or workshop authority record research target 4",maker or workshop authority record,P6,"Democratic, digital and diasporic design, 1992–present",,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,maker or workshop authority record,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,medium,"Identify a specific maker or workshop authority record in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; maker or workshop authority record",2026-07-05-taxonomy-v1
ARED-GH-00060,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — maker or workshop authority record research target 5",maker or workshop authority record,P1,Visual systems before colonial rule,,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,maker or workshop authority record,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,exploratory,"Identify a specific maker or workshop authority record in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; maker or workshop authority record",2026-07-05-taxonomy-v1
ARED-GH-00061,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — institution or collection record research target 1",institution or collection record,P1,Visual systems before colonial rule,,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,institution or collection record,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,high,"Identify a specific institution or collection record in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; institution or collection record",2026-07-05-taxonomy-v1
ARED-GH-00062,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — institution or collection record research target 2",institution or collection record,P2,"Coastal contact and transcultural exchange, c. 1471–1874",,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,institution or collection record,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,high,"Identify a specific institution or collection record in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; institution or collection record",2026-07-05-taxonomy-v1
ARED-GH-00063,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — institution or collection record research target 3",institution or collection record,P5,"Post-independence public and popular graphics, 1966–1992",,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,institution or collection record,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,medium,"Identify a specific institution or collection record in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; institution or collection record",2026-07-05-taxonomy-v1
ARED-GH-00064,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — institution or collection record research target 4",institution or collection record,P6,"Democratic, digital and diasporic design, 1992–present",,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,institution or collection record,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,medium,"Identify a specific institution or collection record in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; institution or collection record",2026-07-05-taxonomy-v1
ARED-GH-00065,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — institution or collection record research target 5",institution or collection record,P1,Visual systems before colonial rule,,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,institution or collection record,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,exploratory,"Identify a specific institution or collection record in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; institution or collection record",2026-07-05-taxonomy-v1
ARED-GH-00066,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — oral-history interview research target 1",oral-history interview,P1,Visual systems before colonial rule,,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,oral-history interview,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,high,"Identify a specific oral-history interview in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; oral-history interview",2026-07-05-taxonomy-v1
ARED-GH-00067,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — oral-history interview research target 2",oral-history interview,P2,"Coastal contact and transcultural exchange, c. 1471–1874",,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,oral-history interview,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,high,"Identify a specific oral-history interview in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; oral-history interview",2026-07-05-taxonomy-v1
ARED-GH-00068,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — oral-history interview research target 3",oral-history interview,P5,"Post-independence public and popular graphics, 1966–1992",,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,oral-history interview,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,medium,"Identify a specific oral-history interview in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; oral-history interview",2026-07-05-taxonomy-v1
ARED-GH-00069,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — oral-history interview research target 4",oral-history interview,P6,"Democratic, digital and diasporic design, 1992–present",,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,oral-history interview,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,medium,"Identify a specific oral-history interview in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; oral-history interview",2026-07-05-taxonomy-v1
ARED-GH-00070,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — oral-history interview research target 5",oral-history interview,P1,Visual systems before colonial rule,,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,oral-history interview,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,exploratory,"Identify a specific oral-history interview in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; oral-history interview",2026-07-05-taxonomy-v1
ARED-GH-00071,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — publication or archival source research target 1",publication or archival source,P1,Visual systems before colonial rule,,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,publication or archival source,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,high,"Identify a specific publication or archival source in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; publication or archival source",2026-07-05-taxonomy-v1
ARED-GH-00072,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — publication or archival source research target 2",publication or archival source,P2,"Coastal contact and transcultural exchange, c. 1471–1874",,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,publication or archival source,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,high,"Identify a specific publication or archival source in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; publication or archival source",2026-07-05-taxonomy-v1
ARED-GH-00073,queued,research target; no object claim,"Greater Accra: Land, cosmology and authority — publication or archival source research target 3",publication or archival source,P5,"Post-independence public and popular graphics, 1966–1992",,,V1,"Land, cosmology and authority",Greater Accra,Accra; Tema; La; Teshie; Nungua,To be identified through local research,Unknown / to be researched,To be identified,Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,publication or archival source,To be documented,"Record local language(s), English and visual/proverbial interpretation where relevant",Structured research placeholder. This row does not assert that a specific object or maker has been verified.,"Designed to prevent gaps in the national catalogue for Greater Accra and the visual system 'Land, cosmology and authority'.",Ghana Museums and Monuments Board; National Archives; traditional councils; university repositories,https://www.ghanamuseums.org/,,research lead,unassessed,"Do not ingest images or protected knowledge until rights, consent and community authority are documented.",unverified_queue,Requires at least two independent sources or one authoritative primary source before publication.,medium,"Identify a specific publication or archival source in Greater Accra connected to Land, cosmology and authority; record maker, date, locality, language, use, medium, provenance, community interpretation, source URLs, rights and custodial authority.",To be established; include colonial acquisition and movement history where relevant.,Assess before documentation or publication,,"research queue; Greater Accra; Land, cosmology and authority; publication or archival source",2026-07-05-taxonomy-v1
